epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,169.01,0.46862,0.39587,0.89364,0.94312,0.96899,0.97417,0.89416,0.46369,0.34804,0.86249,0.000215774,0.000215774,0.000215774
43,173.363,0.45905,0.34431,0.88189,0.95373,0.95739,0.95917,0.88087,0.47529,0.341,0.86641,0.000204769,0.000204769,0.000204769
44,176.61,0.45448,0.36419,0.87202,0.94888,0.96036,0.98919,0.89573,0.48616,0.3573,0.86413,0.000193763,0.000193763,0.000193763
45,179.723,0.4496,0.34579,0.87165,0.93815,0.96441,0.97448,0.87815,0.47622,0.35185,0.8613,0.000182758,0.000182758,0.000182758
46,182.951,0.43891,0.33581,0.8861,0.94915,0.95821,0.99028,0.90295,0.46512,0.35166,0.86181,0.000171752,0.000171752,0.000171752
47,187.295,0.44154,0.33966,0.88211,0.95583,0.95517,0.99028,0.90623,0.46428,0.3415,0.8631,0.000160747,0.000160747,0.000160747
48,190.521,0.46085,0.34931,0.88238,0.95514,0.96095,0.98982,0.91229,0.4583,0.33801,0.85687,0.000149741,0.000149741,0.000149741
49,193.66,0.50804,0.40042,0.88483,0.95469,0.96695,0.98963,0.91343,0.45095,0.32544,0.85364,0.000138736,0.000138736,0.000138736
50,197.072,0.40986,0.32776,0.87294,0.95449,0.96912,0.98896,0.90272,0.46229,0.30858,0.85965,0.000127731,0.000127731,0.000127731
51,203.472,0.34952,0.2629,0.80317,0.9513,0.97157,0.98907,0.90487,0.46778,0.31472,0.86143,0.000116725,0.000116725,0.000116725
52,207.465,0.39185,0.37572,0.83244,0.94955,0.97437,0.98896,0.90776,0.46645,0.34657,0.86186,0.00010572,0.00010572,0.00010572
53,210.565,0.349,0.27725,0.81729,0.94222,0.97215,0.98932,0.9093,0.4676,0.3626,0.86325,9.4714e-05,9.4714e-05,9.4714e-05
54,214.762,0.36279,0.28499,0.82885,0.9447,0.94425,0.96509,0.88023,0.47394,0.37972,0.86807,8.37085e-05,8.37085e-05,8.37085e-05
55,218.079,0.34814,0.30755,0.84553,0.94713,0.94528,0.9474,0.86557,0.47812,0.39177,0.8698,7.2703e-05,7.2703e-05,7.2703e-05
56,221.268,0.33849,0.24359,0.81343,0.95072,0.94811,0.9474,0.86232,0.47754,0.3898,0.87028,6.16975e-05,6.16975e-05,6.16975e-05
57,224.353,0.33693,0.24972,0.81091,0.95211,0.94728,0.9624,0.87785,0.47329,0.38155,0.86867,5.0692e-05,5.0692e-05,5.0692e-05
58,228.609,0.35016,0.28186,0.8261,0.95128,0.94674,0.9474,0.86208,0.47253,0.37497,0.8678,3.96865e-05,3.96865e-05,3.96865e-05
59,231.913,0.33409,0.25142,0.83758,0.9512,0.94542,0.9474,0.85907,0.4745,0.36942,0.86864,2.8681e-05,2.8681e-05,2.8681e-05
60,235.094,0.31873,0.23717,0.80741,0.94908,0.96656,0.9694,0.88491,0.4776,0.36689,0.87039,1.76755e-05,1.76755e-05,1.76755e-05
